economy,iso3c,year,region,subregion,population,independent,ACC_score,SKL_score,SRV_score,AGR_score,ECO_score,OUT_score,DCLO_score,n_domains_used,n_indicators_selected,observed_indicator_points,expected_indicator_points_year,coverage_ratio,DCLO_score_confidence_weighted,model_trust_tier
Gibraltar,GIB,2014,Europe & Central Asia,,,,0.4494119298277533,0.5444236536007291,-0.061196608216103066,1.5561220444500126,-0.07257829819100164,-0.9458402456000353,0.24505707931189247,6,17,6,17,0.35294117647058826,0.24505707931189247,Low
Greece,GRC,2014,Europe & Central Asia,,,,0.47358367551151703,1.1266948890606343,0.30885129729122013,1.547463996997543,-0.1645801765406446,-0.9113227678787812,0.39678181907358145,6,17,15,17,0.8823529411764706,0.39678181907358145,High
Greenland,GRL,2014,Europe & Central Asia,,,,0.40954612523338557,0.5444236536007291,-0.1372584169090767,1.3896143052996088,0.06369647593597882,-0.8267124555179811,0.2405516146071074,6,17,9,17,0.5294117647058824,0.2405516146071074,Low
Grenada,GRD,2014,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),,,0.2671191445152004,0.6476896232002651,-0.02546499735658699,1.4929300544827164,-0.027178909139726593,-0.8792958927557087,0.24596650382435983,6,17,12,17,0.7058823529411765,0.24596650382435983,Medium
Guam,GUM,2014,East Asia & Pacific,,,,0.3054625368942916,0.5444236536007291,-0.10018737319716782,1.5482665902196224,-0.04660206461738725,-0.8436197959026245,0.23462392449957728,6,17,9,17,0.5294117647058824,0.23462392449957728,Low
Guatemala,GTM,2014,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),,,0.036991234375418514,0.15295548618375113,-0.3777231494592683,0.6038115944167642,-0.26172334980420187,-1.0368207973038597,-0.14708483026523267,6,17,17,17,1.0,-0.14708483026523267,High
Guinea,GIN,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.28839261706383484,-0.29268681468305896,-0.7002603230150587,-0.27142024601701137,-0.0702945785945504,-0.9950440274376232,-0.43634976780185625,6,17,15,17,0.8823529411764706,-0.43634976780185625,High
Guinea-Bissau,GNB,2014,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),,,-0.38266011239952374,0.5444236536007291,-0.6865029320596756,0.06233630526030679,-0.3778352617951145,-1.0227957313510727,-0.31050567979072513,6,17,12,17,0.7058823529411765,-0.31050567979072513,Medium
Guyana,GUY,2014,Latin America & Caribbean ,,,,-0.09368974282306992,0.5444236536007291,-0.017386055697594476,0.4230825157221512,-0.07998032269364919,-0.9207935098225303,-0.024057243618993935,6,17,11,17,0.6470588235294118,-0.024057243618993935,Medium
Haiti,HTI,2014,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),,,-0.32247119865242674,0.5444236536007291,-0.6476876599928482,-0.30339126456662563,-0.3916763611749984,-0.9215182528271998,-0.34038684726889495,6,17,12,17,0.7058823529411765,-0.34038684726889495,Medium
Heavily indebted poor countries (HIPC),HPC,2014,Aggregates,,,,-0.13608845621951393,-0.12439417715777086,-0.6101353248562377,-0.1753281300296229,-0.22845945368979437,-1.015768502896351,-0.3816956741415485,6,17,14,17,0.8235294117647058,-0.3816956741415485,High
